"id","name","applicability"
"account_tag_operating_product","商品、劳务","accounts"
"account_tag_operating_taxrefund","税费和返还","accounts"
"account_tag_operating_other","其他与经营活动","accounts"
"account_tag_operating_employee","支付给职工以及为职工支付","accounts"
"account_tag_investing_invest","投资","accounts"
"account_tag_investing_income","投资收益","accounts"
"account_tag_investing_asset","固定资产、无形资产和其他长期资产","accounts"
"account_tag_investing_subsidiary","子公司及其他营业单位","accounts"
"account_tag_investing_other","其他与投资活动","accounts"
