"id","name","code","user_type_id/id","chart_template_id/id","tag_ids/id","reconcile"
"account_1003","存放中央银行款项","1003","account.data_account_type_current_assets","cn_chart_template","","True"
"account_1011","存放同业","1011","account.data_account_type_current_assets","cn_chart_template","","False"
"account_1012","其他货币资金","1012","account.data_account_type_current_assets","cn_chart_template","","False"
"account_1021","结算备付金","1021","account.data_account_type_current_assets","cn_chart_template","","False"
"account_1031","存出保证金","1031","account.data_account_type_current_assets","cn_chart_template","","False"
"account_1101","交易性金融资产","1101","account.data_account_type_current_assets","cn_chart_template","","False"
"account_1111","买入返售金融资产","1111","account.data_account_type_current_assets","cn_chart_template","","False"
"account_1121","应收票据","1121","account.data_account_type_receivable","cn_chart_template","","True"
"account_1122","应收账款","1122","account.data_account_type_receivable","cn_chart_template","","True"
"account_1123","预付账款","1123","account.data_account_type_prepayments","cn_chart_template","","True"
"account_1124","应收账款 (PoS)","1124","account.data_account_type_receivable","cn_chart_template","","True"
"account_1131","应收股利","1131","account.data_account_type_receivable","cn_chart_template","","True"
"account_1132","应收利息","1132","account.data_account_type_receivable","cn_chart_template","","True"
"account_1201","应收代位追偿款","1201","account.data_account_type_current_assets","cn_chart_template","","False"
"account_1211","应收分保账款","1211","account.data_account_type_current_assets","cn_chart_template","","False"
"account_1212","应收分保合同准备金","1212","account.data_account_type_current_assets","cn_chart_template","","False"
"account_1221","其他应收款","1221","account.data_account_type_receivable","cn_chart_template","","True"
"account_1231","坏账准备","1231","account.data_account_type_current_assets","cn_chart_template","","False"
"account_1301","贴现资产","1301","account.data_account_type_current_assets","cn_chart_template","","False"
"account_1302","拆出资金","1302","account.data_account_type_current_assets","cn_chart_template","","False"
"account_1303","贷款","1303","account.data_account_type_current_assets","cn_chart_template","","False"
"account_1304","贷款损失准备","1304","account.data_account_type_current_assets","cn_chart_template","","False"
"account_1311","代理兑付证券","1311","account.data_account_type_current_assets","cn_chart_template","","False"
"account_1321","代理业务资产","1321","account.data_account_type_current_assets","cn_chart_template","","False"
"account_1401","材料采购","1401","account.data_account_type_current_assets","cn_chart_template","","True"
"account_1402","在途物资","1402","account.data_account_type_current_assets","cn_chart_template","","True"
"account_1403","原材料","1403","account.data_account_type_current_assets","cn_chart_template","","False"
"account_1404","材料成本差异","1404","account.data_account_type_current_assets","cn_chart_template","","False"
"account_1405","库存商品","1405","account.data_account_type_current_assets","cn_chart_template","","False"
"account_1406","发出商品","1406","account.data_account_type_current_assets","cn_chart_template","","True"
"account_1407","商品进销差价","1407","account.data_account_type_current_assets","cn_chart_template","","False"
"account_1408","委托加工物资","1408","account.data_account_type_current_assets","cn_chart_template","","False"
"account_1411","周转材料","1411","account.data_account_type_non_current_assets","cn_chart_template","","False"
"account_1421","消耗性生物资产","1421","account.data_account_type_non_current_assets","cn_chart_template","","False"
"account_1431","贵金属","1431","account.data_account_type_non_current_assets","cn_chart_template","","False"
