id,code,master_code,name,category
nhsa_jbzd_33_4803,"33.4803",True,"支气管吻合术","手术"
nhsa_jbzd_33_4804,"33.4804",True,"气管支气管吻合术","手术"
nhsa_jbzd_33_4805,"33.4805",True,"支气管修补术","手术"
nhsa_jbzd_33_4900,"33.4900",True,"肺其他修补术和整形术","手术"
nhsa_jbzd_33_4901,"33.4901",True,"肺修补术","手术"
nhsa_jbzd_33_4902,"33.4902",True,"胸腔镜下肺修补术","手术"
nhsa_jbzd_33_5000,"33.5000",True,"肺移植术","手术"
nhsa_jbzd_33_5100,"33.5100",True,"单侧肺移植术","手术"
nhsa_jbzd_33_5200,"33.5200",True,"双侧肺移植术","手术"
nhsa_jbzd_33_6x00,"33.6x00",True,"心脏-肺联合移植术","手术"
nhsa_jbzd_33_7100,"33.7100",True,"内镜支气管瓣膜置入或置换，单叶","手术"
nhsa_jbzd_33_7101,"33.7101",True,"经内镜支气管瓣膜置入，单叶","手术"
nhsa_jbzd_33_7102,"33.7102",True,"经内镜支气管瓣膜置换，单叶","手术"
nhsa_jbzd_33_7200,"33.7200",True,"内镜肺气道流量测量","诊断性操作"
nhsa_jbzd_33_7300,"33.7300",True,"经内镜置入或置换支气管瓣膜，多叶","手术"
nhsa_jbzd_33_7301,"33.7301",True,"经内镜支气管瓣膜置入，多叶","手术"
nhsa_jbzd_33_7302,"33.7302",True,"经内镜支气管瓣膜置换，多叶","手术"
nhsa_jbzd_33_7800,"33.7800",True,"内镜下去除支气管装置或物质","治疗性操作"
nhsa_jbzd_33_7800x001,"33.7800x001",True,"内镜下支气管瓣膜取出术","治疗性操作"
nhsa_jbzd_33_7802,"33.7802",True,"气管镜支气管支架取出术","治疗性操作"
nhsa_jbzd_33_7900,"33.7900",True,"内镜下置入其他支气管装置或物质","治疗性操作"
nhsa_jbzd_33_7900x001,"33.7900x001",True,"支气管镜下支气管扩张术","治疗性操作"
nhsa_jbzd_33_7900x003,"33.7900x003",True,"支气管镜下生物学肺容积减少术（BLVR）","治疗性操作"
nhsa_jbzd_33_7900x004,"33.7900x004",True,"支气管镜下主支气管支架置入术","治疗性操作"
nhsa_jbzd_33_7901,"33.7901",True,"气管镜支气管支架置入术","治疗性操作"
nhsa_jbzd_33_9100,"33.9100",True,"支气管扩张","治疗性操作"
nhsa_jbzd_33_9101,"33.9101",True,"支气管球囊扩张术","治疗性操作"
nhsa_jbzd_33_9200,"33.9200",True,"支气管结扎术","手术"
nhsa_jbzd_33_9200x002,"33.9200x002",True,"胸腔镜下支气管结扎术","手术"
nhsa_jbzd_33_9300,"33.9300",True,"肺穿刺","治疗性操作"
nhsa_jbzd_33_9300x001,"33.9300x001",True,"经皮穿刺肺肿物金标置入术","治疗性操作"
nhsa_jbzd_33_9300x002,"33.9300x002",True,"经皮穿刺肺肿物导丝置入术","治疗性操作"
nhsa_jbzd_33_9301,"33.9301",True,"肺穿刺抽吸术","治疗性操作"
nhsa_jbzd_33_9302,"33.9302",True,"肺穿刺引流术","治疗性操作"
nhsa_jbzd_33_9800,"33.9800",True,"支气管的其他手术","手术"
nhsa_jbzd_33_9900,"33.9900",True,"肺的其他手术","手术"
nhsa_jbzd_33_9900x001,"33.9900x001",True,"支气管肺灌洗术","手术"
nhsa_jbzd_33_9900x002,"33.9900x002",True,"支气管镜下肺止血术","手术"
nhsa_jbzd_33_9901,"33.9901",True,"肺灌洗术","治疗性操作"
nhsa_jbzd_33_9902,"33.9902",True,"胸壁粘连松解术","手术"
nhsa_jbzd_33_9903,"33.9903",True,"气管镜肺灌洗术","治疗性操作"
nhsa_jbzd_34_0100,"34.0100",True,"胸壁切开术","手术"
nhsa_jbzd_34_0100x002,"34.0100x002",True,"胸膜外引流术","手术"
nhsa_jbzd_34_0100x003,"34.0100x003",True,"胸壁切开排气术","手术"
nhsa_jbzd_34_0101,"34.0101",True,"胸壁切开引流术","手术"
