"id","name","code","account_type","tag_ids","reconcile","name@zh_CN"
"account_template_6602","投资预算收益","6602","off_balance","","False","投资预算收益"
"account_template_6609","其他预算收入","6609","off_balance","","False","其他预算收入"
"account_template_7101","行政支出","7101","off_balance","","False","行政支出"
"account_template_7201","事业支出","7201","off_balance","","False","事业支出"
"account_template_7301","经营支出","7301","off_balance","","False","经营支出"
"account_template_7401","上缴上级支出","7401","off_balance","","False","上缴上级支出"
"account_template_7501","对附属单位补助支出","7501","off_balance","","False","对附属单位补助支出"
"account_template_7601","投资支出","7601","off_balance","","False","投资支出"
"account_template_7701","债务还本支出","7701","off_balance","","False","债务还本支出"
"account_template_7901","其他支出","7901","off_balance","","False","其他支出"
"account_template_8001","资金结存","8001","off_balance","","False","资金结存"
"account_template_8101","财政拨款结转","8101","off_balance","","False","财政拨款结转"
"account_template_8102","财政拨款结余","8102","off_balance","","False","财政拨款结余"
"account_template_8201","非财政拨款结转","8201","off_balance","","False","非财政拨款结转"
"account_template_8202","非财政拨款结余","8202","off_balance","","False","非财政拨款结余"
"account_template_8301","专用结余","8301","off_balance","","False","专用结余"
"account_template_8401","经营结余","8401","off_balance","","False","经营结余"
"account_template_8501","其他结余","8501","off_balance","","False","其他结余"
"account_template_8701","非财政拨款结余分配","8701","off_balance","","False","非财政拨款结余分配"
