"id","name","country_id","name@zh_CN"
"tax_group_vat_6","VAT 6%","base.cn","增值税6%"
"tax_group_vat_9","VAT 9%","base.cn","增值税9%"
"tax_group_vat_13","VAT 13%","base.cn","增值税13%"
