id,name,ref,company_type,category_id/id
enterprise_00108,常熟市双灵医疗器材有限公司,00108,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00109,乐普（北京）医疗装备有限公司,00109,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00110,江西紫星生物技术有限公司,00110,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00113,江苏荷普医疗科技股份有限公司,00113,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00114,广州益凡医疗器械有限公司,00114,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00118,广州橙点贸易发展有限公司,00118,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00122,卡尔蔡司（上海）管理有限公司,00122,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00123,苏州市立普医疗科技有限公司,00123,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00125,北京仁恒德医药科技有限公司,00125,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00128,台昌国际贸易（上海）有限公司,00128,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00129,河南省华裕医疗器械有限公司,00129,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00131,北京恒惠医疗器械有限责任公司,00131,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00132,石家庄麦迪齿科技术有限公司,00132,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00133,深圳京柏医疗科技股份有限公司,00133,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00134,江西祥瑞医疗器械有限公司,00134,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00135,慈溪市新瑞雪义齿有限公司,00135,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00136,泰州培生源医疗器械有限公司,00136,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00137,威海威高生命科技有限公司,00137,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00139,广西南宁高圣欣医疗科技有限公司,00139,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00140,辽宁三医科技有限公司,00140,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00141,温州美加乐医疗科技有限公司,00141,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00142,广州欧欧医疗科技有限责任公司,00142,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00143,泰州市美诺医疗器械有限公司,00143,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00146,南昌沪士达医疗科技有限公司,00146,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00148,武汉泰利美信医疗科技有限公司,00148,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00149,江苏上和口腔医疗科技有限公司,00149,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00150,湖南金六谷药业有限公司,00150,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00151,重庆惠森驰恒医疗器械有限公司,00151,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00152,上海艾乐影像材料有限公司,00152,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00154,广州锦冠桥实业有限公司,00154,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00156,山东航维骨科医疗器械股份有限公司,00156,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00157,上海亚朋生物技术有限公司,00157,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00158,北京速迈医疗科技股份有限公司,00158,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00159,上海锦葵医疗器械股份有限公司,00159,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00162,广州保瑞医疗技术有限公司,00162,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00165,广州医美药业有限公司,00165,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00168,上海东臣牙科技术有限公司,00168,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00170,洛阳益莱康医疗器械有限公司,00170,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00174,湖北美邦医疗用品股份有限公司,00174,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00175,林州鸿煜医疗器械有限公司,00175,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00179,广东康尔乐医疗器械有限公司,00179,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00180,淮安恒雅义齿有限公司,00180,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00182,浙江康是医疗器械有限公司,00182,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00184,北京泰杰伟业科技股份有限公司,00184,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00185,重庆智阖康医疗器械有限公司,00185,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00186,江苏华友医疗器械有限公司,00186,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00187,湖北君言医疗科技有限公司,00187,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00188,天津市晨洁华美科技发展有限公司,00188,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00190,河北普尼医疗科技有限公司,00190,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00192,临沂市屹康医疗器械有限公司,00192,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00196,苏州希普生物科技有限公司,00196,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00198,福建中科康钛材料科技有限公司,00198,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00201,太原梓豪健康产品研究所（有限公司）,00201,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00202,天津市佳士安医疗器械有限公司,00202,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00203,深圳市美皓义齿科技有限公司,00203,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00204,重庆世纪长和实业有限公司,00204,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00205,巴斯特医药科技（常州）有限公司,00205,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00206,爱琅（上海）医疗器械有限公司,00206,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00207,北京金桔匠人科技有限公司,00207,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00208,切迟杜威（北京）贸易有限公司,00208,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00209,杭州玖玖医疗器械有限公司,00209,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00211,上海中智恒康医疗器械有限公司,00211,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00212,新乡市大方医疗器械制造有限公司,00212,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00214,江西浩恒医疗器械有限公司,00214,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00215,贵州美洁如义齿科技有限公司,00215,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00219,杭州欣如医疗器材有限公司,00219,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00225,中山市新致美义齿科技有限公司,00225,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00227,上海欧叶齿科技术有限公司,00227,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00229,深圳橙果医疗科技有限公司,00229,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00231,张家港龙医医疗器械有限公司,00231,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00232,天津嘉氏堂科技有限公司,00232,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00234,天津市康雅迪医疗器械技术开发有限公司,00234,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00237,宁波帆得齿科技术有限公司,00237,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00239,珠海国佳新材股份有限公司,00239,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00246,广东国盛医学科技有限公司,00246,机构,nhsa_consumables.res_partner_category_manufacturer
