35,C01012402000000,01-非血管介入治疗类材料,01-呼吸介入材料,24-一次性胸壁穿刺套管,020-套管,00-不区分,000-常规,乙类,1.80,
36,C01012500400002,01-非血管介入治疗类材料,01-呼吸介入材料,25-其他呼吸介入材料,004-导管,00-不区分,002-导管,乙类,2000.00,
37,C01012522500003,01-非血管介入治疗类材料,01-呼吸介入材料,25-其他呼吸介入材料,225-通气道,00-不区分,003-通气道,乙类,8.56,
38,C01020100200003,01-非血管介入治疗类材料,02-消化介入材料,01-贲门球囊,002-球囊,00-不区分,003-注液体/带导丝,乙类,3880.00,
39,C01020100200004,01-非血管介入治疗类材料,02-消化介入材料,01-贲门球囊,002-球囊,00-不区分,004-注液体/不带导丝,乙类,2258.15,
40,C01020200201001,01-非血管介入治疗类材料,02-消化介入材料,02-食道球囊,002-球囊,01-嵌段聚醚酰胺树脂（Pebax）,001-单级扩张球囊/不带导丝,乙类,1080.00,
41,C01020200201002,01-非血管介入治疗类材料,02-消化介入材料,02-食道球囊,002-球囊,01-嵌段聚醚酰胺树脂（Pebax）,002-单级扩张球囊/带导丝,乙类,2244.52,
42,C01020200201003,01-非血管介入治疗类材料,02-消化介入材料,02-食道球囊,002-球囊,01-嵌段聚醚酰胺树脂（Pebax）,003-多级扩张球囊/不带导丝,乙类,3339.32,
43,C01020200201004,01-非血管介入治疗类材料,02-消化介入材料,02-食道球囊,002-球囊,01-嵌段聚醚酰胺树脂（Pebax）,004-多级扩张球囊/带导丝,乙类,2517.70,
44,C01020200202001,01-非血管介入治疗类材料,02-消化介入材料,02-食道球囊,002-球囊,02-聚对苯二甲酸乙二醇脂（PET）,001-单级扩张球囊/不带导丝,乙类,1590.17,
45,C01020200202002,01-非血管介入治疗类材料,02-消化介入材料,02-食道球囊,002-球囊,02-聚对苯二甲酸乙二醇脂（PET）,002-单级扩张球囊/带导丝,乙类,3880.00,
46,C01020200202003,01-非血管介入治疗类材料,02-消化介入材料,02-食道球囊,002-球囊,02-聚对苯二甲酸乙二醇脂（PET）,003-多级扩张球囊/不带导丝,乙类,3880.00,
47,C01020300201001,01-非血管介入治疗类材料,02-消化介入材料,03-肠道扩张球囊,002-球囊,01-嵌段聚醚酰胺树脂（Pebax）,001-单级扩张球囊/带导丝,乙类,2374.06,
48,C01020300201002,01-非血管介入治疗类材料,02-消化介入材料,03-肠道扩张球囊,002-球囊,01-嵌段聚醚酰胺树脂（Pebax）,002-单级扩张球囊/不带导丝,乙类,1870.94,
49,C01020300201004,01-非血管介入治疗类材料,02-消化介入材料,03-肠道扩张球囊,002-球囊,01-嵌段聚醚酰胺树脂（Pebax）,004-多级扩张球囊/不带导丝,乙类,2900.00,
50,C01020300202001,01-非血管介入治疗类材料,02-消化介入材料,03-肠道扩张球囊,002-球囊,02-聚对苯二甲酸乙二醇脂（PET）,001-单级扩张球囊/带导丝,乙类,2374.06,
51,C01020300202002,01-非血管介入治疗类材料,02-消化介入材料,03-肠道扩张球囊,002-球囊,02-聚对苯二甲酸乙二醇脂（PET）,002-单级扩张球囊/不带导丝,乙类,1228.25,
52,C01020300202003,01-非血管介入治疗类材料,02-消化介入材料,03-肠道扩张球囊,002-球囊,02-聚对苯二甲酸乙二醇脂（PET）,003-多级扩张球囊/带导丝,乙类,3967.10,
53,C01020400201001,01-非血管介入治疗类材料,02-消化介入材料,04-胆胰扩张球囊,002-球囊,01-嵌段聚醚酰胺树脂（Pebax）,001-扩张胆管/传统长交换方式/单出水口球,乙类,295.00,
54,C01020400201002,01-非血管介入治疗类材料,02-消化介入材料,04-胆胰扩张球囊,002-球囊,01-嵌段聚醚酰胺树脂（Pebax）,002-扩囊张胆管/传统长交换方式/双出水口球,乙类,1215.10,
55,C01020400201003,01-非血管介入治疗类材料,02-消化介入材料,04-胆胰扩张球囊,002-球囊,01-嵌段聚醚酰胺树脂（Pebax）,003-扩囊张胆管/快速短交换方式/单出水口球,乙类,4572.00,
56,C01020400201004,01-非血管介入治疗类材料,02-消化介入材料,04-胆胰扩张球囊,002-球囊,01-嵌段聚醚酰胺树脂（Pebax）,004-扩囊张胆管/快速短交换方式/双出水口球,乙类,3880.00,
57,C01020400201005,01-非血管介入治疗类材料,02-消化介入材料,04-胆胰扩张球囊,002-球囊,01-嵌段聚醚酰胺树脂（Pebax）,005-扩囊张乳头/传统长交换方式/单出水口球,乙类,552.00,
58,C01020400201006,01-非血管介入治疗类材料,02-消化介入材料,04-胆胰扩张球囊,002-球囊,01-嵌段聚醚酰胺树脂（Pebax）,006-扩囊张乳头/传统长交换方式/双出水口球,乙类,1621.18,
59,C01020400201007,01-非血管介入治疗类材料,02-消化介入材料,04-胆胰扩张球囊,002-球囊,01-嵌段聚醚酰胺树脂（Pebax）,007-扩囊张乳头/快速短交换方式/单出水口球,乙类,3880.00,
60,C01020400201008,01-非血管介入治疗类材料,02-消化介入材料,04-胆胰扩张球囊,002-球囊,01-嵌段聚醚酰胺树脂（Pebax）,008-扩囊张乳头/快速短交换方式/双出水口球,乙类,3880.00,
