"id","name","applicability"
"account_tag_operating_1","财政基本支出拨款","accounts"
"account_tag_operating_2","财政非资本性项目拨款","accounts"
"account_tag_operating_4","其他日常活动","accounts"
"account_tag_operating_5","职工","accounts"
"account_tag_operating_6","各项税费","accounts"
"account_tag_investing_1","投资收益","accounts"
"account_tag_investing_2","处置固定资产、无形资产、公共基础设施等","accounts"
"account_tag_investing_3","其他投资活动","accounts"
"account_tag_investing_4","购建固定资产、无形资产、公共基础设施等","accounts"
