"id","name","code","account_type","chart_template_id","tag_ids/id","reconcile"
"account_template_administrative_institution_4602","投资收益","4602","income_other","中国 - 行政事业单位","","False"
"account_template_administrative_institution_4603","捐赠收入","4603","income_other","中国 - 行政事业单位","","False"
"account_template_administrative_institution_4604","利息收入","4604","income_other","中国 - 行政事业单位","","False"
"account_template_administrative_institution_4605","租金收入","4605","income_other","中国 - 行政事业单位","","False"
"account_template_administrative_institution_4609","其他收入","4609","income_other","中国 - 行政事业单位","","False"
"account_template_administrative_institution_5001","业务活动费用","5001","expense_direct_cost","中国 - 行政事业单位","","False"
"account_template_administrative_institution_5101","单位管理费用","5101","expense","中国 - 行政事业单位","","False"
"account_template_administrative_institution_5201","经营费用","5201","expense","中国 - 行政事业单位","","False"
"account_template_administrative_institution_5301","资产处置费用","5301","expense","中国 - 行政事业单位","","False"
"account_template_administrative_institution_5401","上缴上级费用","5401","expense","中国 - 行政事业单位","","False"
"account_template_administrative_institution_5501","对附属单位补助费用","5501","expense","中国 - 行政事业单位","","False"
"account_template_administrative_institution_5801","所得税费用","5801","expense","中国 - 行政事业单位","","False"
"account_template_administrative_institution_590101","利息费用","590101","expense","中国 - 行政事业单位","","False"
"account_template_administrative_institution_590102","坏账损失","590102","expense","中国 - 行政事业单位","","False"
"account_template_administrative_institution_590103","罚没支出","590103","expense","中国 - 行政事业单位","","False"
"account_template_administrative_institution_590104","现金资产捐赠","590104","expense","中国 - 行政事业单位","","False"
"account_template_administrative_institution_6001","财政拨款预算收入","6001","budget_income","中国 - 行政事业单位","","False"
"account_template_administrative_institution_6101","事业预算收入","6101","budget_income","中国 - 行政事业单位","","False"
"account_template_administrative_institution_6201","上级补助预算收入","6201","budget_income","中国 - 行政事业单位","","False"
"account_template_administrative_institution_6301","附属单位上缴预算收入","6301","budget_income","中国 - 行政事业单位","","False"
"account_template_administrative_institution_6401","经营预算收入","6401","budget_income","中国 - 行政事业单位","","False"
"account_template_administrative_institution_6501","债务预算收入","6501","budget_income","中国 - 行政事业单位","","False"
"account_template_administrative_institution_6601","非同级财政拨款预算收入","6601","budget_income","中国 - 行政事业单位","","False"
"account_template_administrative_institution_6602","投资预算收益","6602","budget_income","中国 - 行政事业单位","","False"
"account_template_administrative_institution_6609","其他预算收入","6609","budget_income","中国 - 行政事业单位","","False"
"account_template_administrative_institution_7101","行政支出","7101","budget_expense","中国 - 行政事业单位","","False"
"account_template_administrative_institution_7201","事业支出","7201","budget_expense","中国 - 行政事业单位","","False"
"account_template_administrative_institution_7301","经营支出","7301","budget_expense","中国 - 行政事业单位","","False"
"account_template_administrative_institution_7401","上缴上级支出","7401","budget_expense","中国 - 行政事业单位","","False"
"account_template_administrative_institution_7501","对附属单位补助支出","7501","budget_expense","中国 - 行政事业单位","","False"
"account_template_administrative_institution_7601","投资支出","7601","budget_expense","中国 - 行政事业单位","","False"
"account_template_administrative_institution_7701","债务还本支出","7701","budget_expense","中国 - 行政事业单位","","False"
"account_template_administrative_institution_7901","其他支出","7901","budget_expense","中国 - 行政事业单位","","False"
"account_template_administrative_institution_8001","资金结存","8001","budget_surplus","中国 - 行政事业单位","","False"
"account_template_administrative_institution_8101","财政拨款结转","8101","budget_surplus","中国 - 行政事业单位","","False"
"account_template_administrative_institution_8102","财政拨款结余","8102","budget_surplus","中国 - 行政事业单位","","False"
"account_template_administrative_institution_8201","非财政拨款结转","8201","budget_surplus","中国 - 行政事业单位","","False"
"account_template_administrative_institution_8202","非财政拨款结余","8202","budget_surplus","中国 - 行政事业单位","","False"
"account_template_administrative_institution_8301","专用结余","8301","budget_surplus","中国 - 行政事业单位","","False"
"account_template_administrative_institution_8401","经营结余","8401","budget_surplus","中国 - 行政事业单位","","False"
"account_template_administrative_institution_8501","其他结余","8501","budget_surplus","中国 - 行政事业单位","","False"
"account_template_administrative_institution_8701","非财政拨款结余分配","8701","budget_surplus","中国 - 行政事业单位","","False"
