id,name,primary_classification,secondary_classification,tertiary_classification,common_name,material,characteristics,payment_category,payment_standard,description
gz_nhsa_consumables_C01012522500003,C01012522500003,非血管介入治疗类材料,呼吸介入材料,其他呼吸介入材料,通气道,不区分,通气道,乙类,8.56,
gz_nhsa_consumables_C01020100200003,C01020100200003,非血管介入治疗类材料,消化介入材料,贲门球囊,球囊,不区分,注液体/带导丝,乙类,3880.00,
gz_nhsa_consumables_C01020100200004,C01020100200004,非血管介入治疗类材料,消化介入材料,贲门球囊,球囊,不区分,注液体/不带导丝,乙类,2258.15,
gz_nhsa_consumables_C01020200201001,C01020200201001,非血管介入治疗类材料,消化介入材料,食道球囊,球囊,嵌段聚醚酰胺树脂（Pebax）,单级扩张球囊/不带导丝,乙类,1080.00,
gz_nhsa_consumables_C01020200201002,C01020200201002,非血管介入治疗类材料,消化介入材料,食道球囊,球囊,嵌段聚醚酰胺树脂（Pebax）,单级扩张球囊/带导丝,乙类,2244.52,
gz_nhsa_consumables_C01020200201003,C01020200201003,非血管介入治疗类材料,消化介入材料,食道球囊,球囊,嵌段聚醚酰胺树脂（Pebax）,多级扩张球囊/不带导丝,乙类,3339.32,
gz_nhsa_consumables_C01020200201004,C01020200201004,非血管介入治疗类材料,消化介入材料,食道球囊,球囊,嵌段聚醚酰胺树脂（Pebax）,多级扩张球囊/带导丝,乙类,2517.70,
gz_nhsa_consumables_C01020200202001,C01020200202001,非血管介入治疗类材料,消化介入材料,食道球囊,球囊,聚对苯二甲酸乙二醇脂（PET）,单级扩张球囊/不带导丝,乙类,1590.17,
gz_nhsa_consumables_C01020200202002,C01020200202002,非血管介入治疗类材料,消化介入材料,食道球囊,球囊,聚对苯二甲酸乙二醇脂（PET）,单级扩张球囊/带导丝,乙类,3880.00,
gz_nhsa_consumables_C01020200202003,C01020200202003,非血管介入治疗类材料,消化介入材料,食道球囊,球囊,聚对苯二甲酸乙二醇脂（PET）,多级扩张球囊/不带导丝,乙类,3880.00,
gz_nhsa_consumables_C01020300201001,C01020300201001,非血管介入治疗类材料,消化介入材料,肠道扩张球囊,球囊,嵌段聚醚酰胺树脂（Pebax）,单级扩张球囊/带导丝,乙类,2374.06,
gz_nhsa_consumables_C01020300201002,C01020300201002,非血管介入治疗类材料,消化介入材料,肠道扩张球囊,球囊,嵌段聚醚酰胺树脂（Pebax）,单级扩张球囊/不带导丝,乙类,1870.94,
gz_nhsa_consumables_C01020300201004,C01020300201004,非血管介入治疗类材料,消化介入材料,肠道扩张球囊,球囊,嵌段聚醚酰胺树脂（Pebax）,多级扩张球囊/不带导丝,乙类,2900.00,
gz_nhsa_consumables_C01020300202001,C01020300202001,非血管介入治疗类材料,消化介入材料,肠道扩张球囊,球囊,聚对苯二甲酸乙二醇脂（PET）,单级扩张球囊/带导丝,乙类,2374.06,
gz_nhsa_consumables_C01020300202002,C01020300202002,非血管介入治疗类材料,消化介入材料,肠道扩张球囊,球囊,聚对苯二甲酸乙二醇脂（PET）,单级扩张球囊/不带导丝,乙类,1228.25,
gz_nhsa_consumables_C01020300202003,C01020300202003,非血管介入治疗类材料,消化介入材料,肠道扩张球囊,球囊,聚对苯二甲酸乙二醇脂（PET）,多级扩张球囊/带导丝,乙类,3967.10,
gz_nhsa_consumables_C01020400201001,C01020400201001,非血管介入治疗类材料,消化介入材料,胆胰扩张球囊,球囊,嵌段聚醚酰胺树脂（Pebax）,扩张胆管/传统长交换方式/单出水口球囊,乙类,295.00,
gz_nhsa_consumables_C01020400201002,C01020400201002,非血管介入治疗类材料,消化介入材料,胆胰扩张球囊,球囊,嵌段聚醚酰胺树脂（Pebax）,扩张胆管/传统长交换方式/双出水口球囊,乙类,1215.10,
gz_nhsa_consumables_C01020400201003,C01020400201003,非血管介入治疗类材料,消化介入材料,胆胰扩张球囊,球囊,嵌段聚醚酰胺树脂（Pebax）,扩张胆管/快速短交换方式/单出水口球囊,乙类,4572.00,
gz_nhsa_consumables_C01020400201004,C01020400201004,非血管介入治疗类材料,消化介入材料,胆胰扩张球囊,球囊,嵌段聚醚酰胺树脂（Pebax）,扩张胆管/快速短交换方式/双出水口球囊,乙类,3880.00,
gz_nhsa_consumables_C01020400201005,C01020400201005,非血管介入治疗类材料,消化介入材料,胆胰扩张球囊,球囊,嵌段聚醚酰胺树脂（Pebax）,扩张乳头/传统长交换方式/单出水口球囊,乙类,552.00,
gz_nhsa_consumables_C01020400201006,C01020400201006,非血管介入治疗类材料,消化介入材料,胆胰扩张球囊,球囊,嵌段聚醚酰胺树脂（Pebax）,扩张乳头/传统长交换方式/双出水口球囊,乙类,1621.18,
gz_nhsa_consumables_C01020400201007,C01020400201007,非血管介入治疗类材料,消化介入材料,胆胰扩张球囊,球囊,嵌段聚醚酰胺树脂（Pebax）,扩张乳头/快速短交换方式/单出水口球囊,乙类,3880.00,
gz_nhsa_consumables_C01020400201008,C01020400201008,非血管介入治疗类材料,消化介入材料,胆胰扩张球囊,球囊,嵌段聚醚酰胺树脂（Pebax）,扩张乳头/快速短交换方式/双出水口球囊,乙类,3880.00,
gz_nhsa_consumables_C01020400201009,C01020400201009,非血管介入治疗类材料,消化介入材料,胆胰扩张球囊,球囊,嵌段聚醚酰胺树脂（Pebax）,扩张胰管/传统长交换方式/单出水口球囊,乙类,3880.00,
gz_nhsa_consumables_C01020400201010,C01020400201010,非血管介入治疗类材料,消化介入材料,胆胰扩张球囊,球囊,嵌段聚醚酰胺树脂（Pebax）,扩张胰管/传统长交换方式/双出水口球囊,乙类,3880.00,
gz_nhsa_consumables_C01020400201011,C01020400201011,非血管介入治疗类材料,消化介入材料,胆胰扩张球囊,球囊,嵌段聚醚酰胺树脂（Pebax）,扩张胰管/快速短交换方式/单出水口球囊,乙类,3880.00,
gz_nhsa_consumables_C01020400202001,C01020400202001,非血管介入治疗类材料,消化介入材料,胆胰扩张球囊,球囊,聚对苯二甲酸乙二醇脂（PET）,扩张胆管/传统长交换方式/单出水口球,乙类,1203.91,
gz_nhsa_consumables_C01020400202002,C01020400202002,非血管介入治疗类材料,消化介入材料,胆胰扩张球囊,球囊,聚对苯二甲酸乙二醇脂（PET）,扩囊张胆管/传统长交换方式/双出水口球,乙类,3563.00,
gz_nhsa_consumables_C01020400202004,C01020400202004,非血管介入治疗类材料,消化介入材料,胆胰扩张球囊,球囊,聚对苯二甲酸乙二醇脂（PET）,扩囊张胆管/快速短交换方式/双出水口球,乙类,3058.60,
gz_nhsa_consumables_C01020500200001,C01020500200001,非血管介入治疗类材料,消化介入材料,胆胰取石球囊,球囊,不区分,-双腔,乙类,1642.50,
gz_nhsa_consumables_C01020500200005,C01020500200005,非血管介入治疗类材料,消化介入材料,胆胰取石球囊,球囊,不区分,三腔,乙类,1528.56,
gz_nhsa_consumables_C01020600101001,C01020600101001,非血管介入治疗类材料,消化介入材料,食道支架,支架,不锈钢,全覆膜支架/鞘管释放,乙类,3360.00,
gz_nhsa_consumables_C01020600102001,C01020600102001,非血管介入治疗类材料,消化介入材料,食道支架,支架,镍钛合金,全覆膜支架/鞘管释放,乙类,3238.26,
gz_nhsa_consumables_C01020600102002,C01020600102002,非血管介入治疗类材料,消化介入材料,食道支架,支架,镍钛合金,全覆膜支架/拉线释放,乙类,9933.94,
gz_nhsa_consumables_C01020600102003,C01020600102003,非血管介入治疗类材料,消化介入材料,食道支架,支架,镍钛合金,部分覆膜支架/鞘管释放,乙类,9890.00,
gz_nhsa_consumables_C01020600102004,C01020600102004,非血管介入治疗类材料,消化介入材料,食道支架,支架,镍钛合金,部分覆膜支架/拉线释放,乙类,9558.00,
gz_nhsa_consumables_C01020600102005,C01020600102005,非血管介入治疗类材料,消化介入材料,食道支架,支架,镍钛合金,裸支架/鞘管释放,乙类,5600.00,
gz_nhsa_consumables_C01020600102006,C01020600102006,非血管介入治疗类材料,消化介入材料,食道支架,支架,镍钛合金,裸支架/拉线释放,乙类,3360.00,
gz_nhsa_consumables_C01020700100001,C01020700100001,非血管介入治疗类材料,消化介入材料,肠道支架,支架,不区分,覆膜支架/可通过内镜活检孔,乙类,3360.00,
gz_nhsa_consumables_C01020700100002,C01020700100002,非血管介入治疗类材料,消化介入材料,肠道支架,支架,不区分,裸道支架/可通过内镜活检孔道,乙类,9552.69,
